SYNTHETIC SAMPLE — HDFC Bank format — for demo only
Account No : 50100XXXXX8823,Salary Account,Chennai

Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/01/26,SALARY-JAN26-ACME TECH PVT LTD,SAL0126,01/01/26,,62000.00,86000.00
05/01/26,UPI-SWIGGY-swiggy@icici-UPI/601500011,601500011,05/01/26,480.00,,85520.00
09/01/26,IMPS-P2A-601900022-RENT-JAN,601900022,09/01/26,15000.00,,70520.00
15/01/26,POS 4123XXXXXXXX7710 NETFLIX.COM,,15/01/26,499.00,,70021.00
20/01/26,DEBIT CARD ANNUAL FEE 4123XXXXXXXX7710,,20/01/26,590.00,,69431.00
27/01/26,IMPS-P2A-602700045-SIS,602700045,27/01/26,5000.00,,64431.00
28/01/26,IMPS RETURN 602700045-BENEFICIARY NOT FOUND,602700045,28/01/26,,5000.00,69431.00
01/02/26,SALARY-FEB26-ACME TECH PVT LTD,SAL0226,01/02/26,,62000.00,131431.00
03/02/26,MIN BAL CHRG INCL GST JAN26,,03/02/26,708.00,,130723.00
09/02/26,IMPS-P2A-604900022-RENT-FEB,604900022,09/02/26,15000.00,,115723.00
15/02/26,POS 4123XXXXXXXX7710 NETFLIX.COM,,15/02/26,649.00,,115074.00
20/02/26,ATM WDL HDFC ANNA NAGAR,,20/02/26,5000.00,,110074.00
01/03/26,SALARY-MAR26-ACME TECH PVT LTD,SAL0326,01/03/26,,62000.00,172074.00
09/03/26,IMPS-P2A-606900022-RENT-MAR,606900022,09/03/26,15000.00,,157074.00
15/03/26,POS 4123XXXXXXXX7710 NETFLIX.COM,,15/03/26,649.00,,156425.00
