SYNTHETIC SAMPLE — Canara Bank format — for demo only
Account Name,SELVI R
Account Number,XXXXXXXX4417
Account Type,SB PENSION

Txn Date,Value Date,Description,Ref No./Cheque No.,Branch Code,Debit,Credit,Balance
10-01-2024,10-01-2024,CASH DEP BY SELF,,0421,,3000.00,5500.00
05-02-2024,05-02-2024,ATM WDL INDIAN BANK POLLACHI,,0421,1000.00,,4500.00
30-06-2024,30-06-2024,SB INT CR,,0421,,22.00,4522.00
31-12-2024,31-12-2024,SB INT CR,,0421,,24.00,4546.00
30-06-2025,30-06-2025,SB INT CR,,0421,,25.00,4571.00
31-12-2025,31-12-2025,SB INT CR,,0421,,26.00,4597.00
31-03-2026,31-03-2026,MIN BAL NON MAINT CHRG,,0421,200.00,,4397.00
31-03-2026,31-03-2026,GST,,0421,36.00,,4361.00
30-06-2026,30-06-2026,SB INT CR,,0421,,21.00,4382.00
12-08-2026,12-08-2026,DORMANT ACCT REACTIVATION CHRG,,0421,100.00,,4282.00
