SYNTHETIC SAMPLE — State Bank of India format — for demo only
Account Name :	ARUN K
Account Number :	_00000039281105
Address :	Coimbatore

Txn Date	Value Date	Description	Ref No./Cheque No.	        Debit	Credit	Balance
01 Apr 2025	01 Apr 2025	BY TRANSFER-UPI/CR/509123001/APPA/SBIN	509123001		5,000.00	6,200.00
03 Apr 2025	03 Apr 2025	ATM WDL-SBI ATM RS PURAM	509303001	1,000.00		5,200.00
08 Apr 2025	08 Apr 2025	ATM WDL-SBI ATM GANDHIPURAM	509803011	500.00		4,700.00
12 Apr 2025	12 Apr 2025	ATM WDL-SBI ATM PEELAMEDU	510201101	500.00		4,200.00
16 Apr 2025	16 Apr 2025	ATM WDL-SBI ATM RS PURAM	510601001	500.00		3,700.00
20 Apr 2025	20 Apr 2025	ATM WDL-SBI ATM RS PURAM	511001001	500.00		3,200.00
24 Apr 2025	24 Apr 2025	ATM WDL-SBI ATM RS PURAM	511401001	500.00		2,700.00
24 Apr 2025	24 Apr 2025	ATM CASH WDL CHARGES		25.00		2,675.00
24 Apr 2025	24 Apr 2025	GST ON CHARGES		4.50		2,670.50
01 May 2025	01 May 2025	BY TRANSFER-UPI/CR/512123001/APPA/SBIN	512123001		5,000.00	7,670.50
02 May 2025	02 May 2025	ATM WDL-SBI ATM RS PURAM	512201001	500.00		7,170.50
06 May 2025	06 May 2025	ATM WDL-SBI ATM RS PURAM	512601001	500.00		6,670.50
10 May 2025	10 May 2025	ATM WDL-SBI ATM RS PURAM	513001001	500.00		6,170.50
14 May 2025	14 May 2025	ATM WDL-SBI ATM RS PURAM	513401001	500.00		5,670.50
18 May 2025	18 May 2025	ATM WDL-SBI ATM RS PURAM	513801001	500.00		5,170.50
22 May 2025	22 May 2025	ATM WDL-SBI ATM RS PURAM	514201001	500.00		4,670.50
22 May 2025	22 May 2025	ATM CASH WDL CHARGES		23.00		4,647.50
22 May 2025	22 May 2025	GST ON CHARGES		4.14		4,643.36
01 Jun 2025	01 Jun 2025	BY TRANSFER-UPI/CR/515123001/APPA/SBIN	515123001		5,000.00	9,643.36
04 Jun 2025	04 Jun 2025	NWD-ATM CASH-HDFC BANK ATM AVINASHI RD	515401001	2,000.00		7,643.36
04 Jun 2025	04 Jun 2025	NWD-ATM CASH-HDFC BANK ATM AVINASHI RD	515401002	2,000.00		5,643.36
07 Jun 2025	07 Jun 2025	ATM REV-PARTIAL-515401001	515401001		1,000.00	6,643.36
08 Jun 2025	08 Jun 2025	ATM REV-PARTIAL-515401001	515401001		1,000.00	7,643.36
15 Jun 2025	15 Jun 2025	UPI/DR/516501001/ZOMATO/SBIN/zomato@ptybl	516501001	349.00		7,294.36
15 Jun 2025	15 Jun 2025	UPI/DR/516501002/ZOMATO/SBIN/zomato@ptybl	516501002	349.00		6,945.36
30 Jun 2025	30 Jun 2025	CREDIT INTEREST			31.00	6,976.36
